Unnamed: 0,Language,Party,Post,Username,prediction
142,mr,BJP,Party Handle,BJP4India,0
5,hi,AAP,Party Handle,AamAadmiParty,2
133,hi,BJP,Party Handle,BJP4India,0
35,hi,AAP,Party Handle,AamAadmiParty,0
33,hi,AAP,Party Handle,AamAadmiParty,0
150,hi,BJP,Party Handle,BJP4India,0
34,hi,AAP,Party Handle,AamAadmiParty,0
22,hi,AAP,Party Handle,AamAadmiParty,0
6,hi,AAP,Party Handle,AamAadmiParty,2
134,gu,BJP,Party Handle,BJP4India,0
149,pa,BJP,Party Handle,BJP4India,2
140,gu,BJP,Party Handle,BJP4India,0
153,gu,BJP,Party Handle,BJP4India,0
12,hi,AAP,Party Handle,AamAadmiParty,2
155,hi,BJP,Party Handle,BJP4India,0
27,hi,AAP,Party Handle,AamAadmiParty,2
28,other,AAP,Party Handle,AamAadmiParty,0
138,en,BJP,Party Handle,BJP4India,0
25,en,AAP,Party Handle,AamAadmiParty,1
10,hi,AAP,Party Handle,AamAadmiParty,0
154,pa,BJP,Party Handle,BJP4India,0
26,hi,AAP,Party Handle,AamAadmiParty,2
11,hi,AAP,Party Handle,AamAadmiParty,0
139,gu,BJP,Party Handle,BJP4India,0
156,en,BJP,Party Handle,BJP4India,0
137,hi,BJP,Party Handle,BJP4India,0
152,hi,BJP,Party Handle,BJP4India,0
9,hi,AAP,Party Handle,AamAadmiParty,0
24,mr,AAP,Party Handle,AamAadmiParty,0
13,hi,AAP,Party Handle,AamAadmiParty,0
158,pa,BJP,Party Handle,BJP4India,0
141,en,BJP,Party Handle,BJP4India,0
30,hi,AAP,Party Handle,AamAadmiParty,0
157,hi,BJP,Party Handle,BJP4India,0
29,en,AAP,Party Handle,AamAadmiParty,2
1,hi,AAP,Party Handle,AamAadmiParty,1
129,gu,BJP,Party Handle,BJP4India,0
39,hi,AAP,Party Handle,AamAadmiParty,0
145,other,BJP,Party Handle,BJP4India,2
144,hi,BJP,Party Handle,BJP4India,0
20,hi,AAP,Party Handle,AamAadmiParty,2
148,hi,BJP,Party Handle,BJP4India,0
16,hi,AAP,Party Handle,AamAadmiParty,0
38,hi,AAP,Party Handle,AamAadmiParty,0
166,hi,BJP,Party Handle,BJP4India,0
131,hi,BJP,Party Handle,BJP4India,0
3,hi,AAP,Party Handle,AamAadmiParty,0
167,pa,BJP,Party Handle,BJP4India,2
130,hi,BJP,Party Handle,BJP4India,0
2,hi,AAP,Party Handle,AamAadmiParty,2
19,en,AAP,Party Handle,AamAadmiParty,0
169,hi,BJP,Party Handle,BJP4India,0
17,hi,AAP,Party Handle,AamAadmiParty,2
147,hi,BJP,Party Handle,BJP4India,0
4,hi,AAP,Party Handle,AamAadmiParty,2
132,hi,BJP,Party Handle,BJP4India,0
170,hi,BJP,Party Handle,BJP4India,0
36,hi,AAP,Party Handle,AamAadmiParty,2
164,pa,BJP,Party Handle,BJP4India,0
18,hi,AAP,Party Handle,AamAadmiParty,0
143,hi,BJP,Party Handle,BJP4India,0
15,hi,AAP,Party Handle,AamAadmiParty,0
128,hi,AAP,Party Handle,AamAadmiParty,2
37,en,AAP,Party Handle,AamAadmiParty,0
42,hi,AAP,Party Handle,AamAadmiParty,2
165,en,BJP,Party Handle,BJP4India,0
21,other,AAP,Party Handle,AamAadmiParty,0
2535,pa,SAD,Politician,bsmajithia,0
2653,pa,AAP,Political Leader,BhagwantMann,0
2407,pa,BJP,Politician,AshwaniSBJP,0
2701,pa,AAP,Political Leader,BhagwantMann,0
2266,hi,SP,Political Leader,yadavakhilesh,2
2663,pa,AAP,Political Leader,BhagwantMann,2
2781,pa,AAP,Political Leader,BhagwantMann,0
2394,pa,AAP,Political Leader,ArvindKejriwal,0
2576,pa,Sanyukt Samaj Morcha Party,Political Leader,BRajewal,0
2317,bn,BJP,Politician,AmitShah,0
2788,pa,AAP,Political Leader,BhagwantMann,0
2320,pa,BJP,Politician,AmitShah,2
2448,hi,BJP,Politician,ianuragthakur,0
2660,pa,AAP,Political Leader,BhagwantMann,0
2532,pa,SAD,Politician,bsmajithia,0
2445,pa,BJP,Politician,AshwaniSBJP,2
2525,en,SP,Politician,imashumalik,0
2279,en,SP,Political Leader,yadavakhilesh,0
2522,en,SP,Politician,imashumalik,0
2573,pa,Sanyukt Samaj Morcha Party,Political Leader,BRajewal,2
2276,hi,SP,Political Leader,yadavakhilesh,2
2397,pa,AAP,Political Leader,ArvindKejriwal,0
2650,pa,AAP,Political Leader,BhagwantMann,2
2778,pa,AAP,Political Leader,BhagwantMann,2
2704,pa,AAP,Political Leader,BhagwantMann,2
2269,hi,SP,Political Leader,yadavakhilesh,0
2404,hi,SP,Politician,aashishsy,0
2577,pa,Sanyukt Samaj Morcha Party,Political Leader,BRajewal,0
2783,pa,AAP,Political Leader,BhagwantMann,0
2575,pa,Sanyukt Samaj Morcha Party,Political Leader,BRajewal,0
2272,hi,SP,Political Leader,yadavakhilesh,1
2528,pa,SAD,Politician,bsmajithia,0
2447,en,BJP,Politician,ianuragthakur,0
2656,pa,AAP,Political Leader,BhagwantMann,0
2784,pa,AAP,Political Leader,BhagwantMann,0
2319,en,BJP,Politician,AmitShah,0
2655,pa,AAP,Political Leader,BhagwantMann,0
2527,pa,SAD,Politician,bsmajithia,0
2399,pa,AAP,Political Leader,ArvindKejriwal,0
2703,pa,AAP,Political Leader,BhagwantMann,0
2529,pa,SAD,Politician,bsmajithia,0
2273,hi,SP,Political Leader,yadavakhilesh,2
2318,hi,BJP,Politician,AmitShah,2
2401,pa,AAP,Political Leader,ArvindKejriwal,0
2446,en,RLD,Politician,AvtarBhadanaMP,0
2782,pa,AAP,Political Leader,BhagwantMann,0
2654,pa,AAP,Political Leader,BhagwantMann,0
2574,pa,Sanyukt Samaj Morcha Party,Political Leader,BRajewal,0
2657,pa,AAP,Political Leader,BhagwantMann,0
2526,pa,SAD,Politician,bsmajithia,2
2398,pa,AAP,Political Leader,ArvindKejriwal,0
2785,pa,AAP,Political Leader,BhagwantMann,0
2702,pa,AAP,Political Leader,BhagwantMann,0
2270,hi,SP,Political Leader,yadavakhilesh,0
2271,hi,SP,Political Leader,yadavakhilesh,2
2275,hi,SP,Political Leader,yadavakhilesh,2
2789,pa,AAP,Political Leader,BhagwantMann,0
2444,pa,BJP,Politician,AshwaniSBJP,2
2786,pa,AAP,Political Leader,BhagwantMann,0
2316,bn,BJP,Politician,AmitShah,1
2396,pa,AAP,Political Leader,ArvindKejriwal,0
2268,hi,SP,Political Leader,yadavakhilesh,2
2705,pa,AAP,Political Leader,BhagwantMann,0
2277,hi,SP,Political Leader,yadavakhilesh,0
2405,en,SP,Politician,aashishsy,0
2533,pa,SAD,Politician,bsmajithia,0
2661,pa,AAP,Political Leader,BhagwantMann,0
2658,pa,AAP,Political Leader,BhagwantMann,0
2524,hi,SP,Politician,imashumalik,0
2403,hi,SP,Politician,aashishsy,2
2531,pa,SAD,Politician,bsmajithia,2
2659,pa,AAP,Political Leader,BhagwantMann,0
2787,pa,AAP,Political Leader,BhagwantMann,0
2321,pa,BJP,Politician,AmitShah,2
2652,pa,AAP,Political Leader,BhagwantMann,0
2449,en,BJP,Politician,ianuragthakur,0
2700,pa,AAP,Political Leader,BhagwantMann,2
2274,hi,SP,Political Leader,yadavakhilesh,0
2780,pa,AAP,Political Leader,BhagwantMann,2
2402,hi,SP,Politician,aashishsy,2
2572,pa,Sanyukt Samaj Morcha Party,Political Leader,BRajewal,2
2530,pa,SAD,Politician,bsmajithia,0
2791,pa,AAP,Political Leader,BhagwantMann,0
2676,pa,AAP,Political Leader,BhagwantMann,0
2548,pa,SAD,Politician,officeofssbadal,0
2309,gu,BJP,Politician,AmitShah,1
2420,pa,BJP,Politician,AshwaniSBJP,0
2292,other,AAP,Politician,AmitPalekar10,2
2437,pa,BJP,Politician,AshwaniSBJP,0
2295,gu,BJP,Politician,AmitShah,1
2678,pa,AAP,Political Leader,BhagwantMann,0
2306,gu,BJP,Politician,AmitShah,2
2550,pa,SAD,Politician,officeofssbadal,0
2422,pa,BJP,Politician,AshwaniSBJP,0
2434,pa,BJP,Politician,AshwaniSBJP,0
2294,bn,BJP,Politician,AmitShah,2
2423,pa,BJP,Politician,AshwaniSBJP,0
2562,pa,SAD,Politician,officeofssbadal,0
2690,pa,AAP,Political Leader,BhagwantMann,0
2679,pa,AAP,Political Leader,BhagwantMann,0
2551,pa,SAD,Politician,officeofssbadal,0
2565,pa,SAD,Politician,officeofssbadal,0
2693,pa,AAP,Political Leader,BhagwantMann,0
2418,pa,BJP,Politician,AshwaniSBJP,2
2308,gu,BJP,Politician,AmitShah,0
2290,other,AAP,Politician,AmitPalekar10,2
